scheduled_e2_time,scheduled_e4a_time,result,e4a_t,e4a_X_P,e4a_X_R,e4a_v_P,e4a_v_R,e4a_phi_P,e4a_phi_R,e4a_F^intra,e4a_F^inter,e4a_L^intra,e4a_L^inter,e4a_tauドットPR,e4a_tauPR,e4a_tauRB,e6_t,e6_X_P,e6_X_R,e6_v_P,e6_v_R,e6_phi_P,e6_phi_R,e6_F^intra,e6_F^inter,e6_L^intra,e6_L^inter,e6_tauドットPR,e6_tauPR,e6_tauRB
7.4,7.4,offered,7.399999999999979,65.76411206228954,80,11.463715834018466,5.3349593749999995,2.398110490723731,0,4.789866604206469,0,2.393326741907804,1,,,,9.650000000000059,90.81062141735032,91.0469855572378,9.287744723070105,5.211374520671004,3.2526537585893034,4.71238898038469,4.4433861415368705,0,2.264061232918857,0.9232260402051744,-0.26732823757652585,0.057983973032767075,3.6368551842867456
7.4,7.417,offered,7.433333333333312,66.11232435299564,80.17783197916663,10.489504099945016,5.3349593749999995,2.8551135191758643,0.4085379446605727,4.787462349156404,-0.40769038363543403,2.3949886392538016,1,-1.9327506835785258,2.7287584795029636,5.589952223550601,9.650000000000059,90.81062141735032,91.0469855572378,9.287744723070105,5.211374520671004,3.2526537585893034,4.71238898038469,4.4433861415368705,0,2.264061232918857,0.9232260402051744,-0.26732823757652585,0.057983973032767075,3.6368551842867456
7.4,7.433,offered,7.433333333333312,66.11232435299564,80.17783197916663,10.489504099945016,5.3349593749999995,2.8551135191758643,0.4085379446605727,4.787462349156404,-0.40769038363543403,2.3949886392538016,1,-1.9327506835785258,2.7287584795029636,5.589952223550601,9.650000000000059,90.81062141735032,91.0469855572378,9.287744723070105,5.211374520671004,3.2526537585893034,4.71238898038469,4.4433861415368705,0,2.264061232918857,0.9232260402051744,-0.26732823757652585,0.057983973032767075,3.6368551842867456
7.4,7.45,offered,7.449999999999979,66.28714942132808,80.26674796874994,10.520085409831795,5.3349593749999995,3.0844378430305177,0.612806916990859,4.7861728931156104,-0.39531285960756657,2.395905433001665,1,-1.9597373673769614,2.696096190046681,5.573285556883938,9.650000000000059,90.81062141735032,91.0469855572378,9.287744723070105,5.211374520671004,3.2526537585893034,4.71238898038469,4.4433861415368705,0,2.264061232918857,0.9232260402051744,-0.26732823757652585,0.057983973032767075,3.6368551842867456
7.4,7.467,offered,7.483333333333312,66.63835260571699,80.44457994791657,10.585623713894254,5.3349593749999995,3.544853587142011,1.0213448616514318,4.783417343966772,-0.36890501676076687,2.3979146345693896,1,-2.013579645245187,2.62942485961825,5.539952223550613,9.650000000000059,90.81062141735032,91.0469855572378,9.287744723070105,5.211374520671004,3.2526537585893034,4.71238898038469,4.4433861415368705,0,2.264061232918857,0.9232260402051744,-0.26732823757652585,0.057983973032767075,3.6368551842867456
7.4,7.483,offered,7.483333333333312,66.63835260571699,80.44457994791657,10.585623713894254,5.3349593749999995,3.544853587142011,1.0213448616514318,4.783417343966772,-0.36890501676076687,2.3979146345693896,1,-2.013579645245187,2.62942485961825,5.539952223550613,9.650000000000059,90.81062141735032,91.0469855572378,9.287744723070105,5.211374520671004,3.2526537585893034,4.71238898038469,4.4433861415368705,0,2.264061232918857,0.9232260402051744,-0.26732823757652585,0.057983973032767075,3.6368551842867456
7.4,7.5,offered,7.499999999999979,66.8147796676152,80.53349593749988,10.620700333221906,5.3349593749999995,3.7759969120808767,1.2256138339817182,4.78195035657547,-0.354830025790974,2.3990087324642233,1,-2.040308920778333,2.5954197109386112,5.52328555688395,9.650000000000059,90.81062141735032,91.0469855572378,9.287744723070105,5.211374520671004,3.2526537585893034,4.71238898038469,4.4433861415368705,0,2.264061232918857,0.9232260402051744,-0.26732823757652585,0.057983973032767075,3.6368551842867456
7.4,7.517,offered,7.533333333333312,67.16941463925065,80.7113279166665,10.695780573688983,5.3349593749999995,4.240292888422579,1.634151778642291,4.778835445105398,-0.3248221476647064,2.401380476307706,1,-2.093009122101943,2.5260893388362966,5.489952223550624,9.650000000000059,90.81062141735032,91.0469855572378,9.287744723070105,5.211374520671004,3.2526537585893034,4.71238898038469,4.4433861415368705,0,2.264061232918857,0.9232260402051744,-0.26732823757652585,0.057983973032767075,3.6368551842867456
7.4,7.533,offered,7.533333333333312,67.16941463925065,80.7113279166665,10.695780573688983,5.3349593749999995,4.240292888422579,1.634151778642291,4.778835445105398,-0.3248221476647064,2.401380476307706,1,-2.093009122101943,2.5260893388362966,5.489952223550624,9.650000000000059,90.81062141735032,91.0469855572378,9.287744723070105,5.211374520671004,3.2526537585893034,4.71238898038469,4.4433861415368705,0,2.264061232918857,0.9232260402051744,-0.26732823757652585,0.057983973032767075,3.6368551842867456
7.4,7.55,offered,7.5499999999999785,67.34767764881212,80.80024390624982,10.735913374461852,5.3349593749999995,4.473504479326428,1.8384207509725774,4.777186399353961,-0.3088417343598837,2.4026600854157882,1,-2.1188041242397215,2.4907759367656346,5.473285556883961,9.650000000000059,90.81062141735032,91.0469855572378,9.287744723070105,5.211374520671004,3.2526537585893034,4.71238898038469,4.4433861415368705,0,2.264061232918857,0.9232260402051744,-0.26732823757652585,0.057983973032767075,3.6368551842867456
