t,xP,xR,vP,vR,phiP,phiR,F^intra,F^inter,L^intra,L^inter,tauドットPR,tauPR,tauRB,e2,e4a,e4b,e5,e6,e7,e8
0,0,80,5.3349593749999995,,0,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.016666666666666666,0.08891599,80,5.3349593749999995,,0.20426897233028635,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.033333333,0.1778319791666263,80,5.3349593749999995,,0.4085379446605727,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.05,0.26674796874993945,80,5.3349593749999995,,0.612806917,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.066666667,0.3556639583332526,80,5.3349593749999995,,0.8170758893211454,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.083333333,0.44457994791656574,80,5.3349593749999995,,1.0213448616514318,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.1,0.5334959374998789,80,5.3349593749999995,,1.2256138339817182,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.11666666666666665,0.622411927,80,5.3349593749999995,,1.4298828063120046,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.13333333333333333,0.7113279166665052,80,5.3349593749999995,,1.634151778642291,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.15,0.8002439062498183,80,5.3349593749999995,,1.8384207509725774,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.16666666666666666,0.8891598958331315,80,5.3349593749999995,,2.0426897233028636,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.18333333333333332,0.9780758854164446,80,5.3349593749999995,,2.246958696,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.19999999999999998,1.0669918749997578,80,5.3349593749999995,,2.4512276679634364,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.21666666666666665,1.155907864583071,80,5.3349593749999995,,2.655496640293723,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.2333333333333333,1.244823854166384,80,5.3349593749999995,,2.859765612624009,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.24999999999999997,1.3337398437496972,80,5.3349593749999995,,3.0640345849542956,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.26666666666666666,1.4226558333330104,80,5.3349593749999995,,3.268303557284582,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.2833333333333333,1.5115718229163235,80,5.3349593749999995,,3.4725725296148684,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.3,1.6004878124996367,80,5.3349593749999995,,3.676841501945155,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.31666666666666665,1.6894038020829498,80,5.3349593749999995,,3.881110474275441,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.3333333333333333,1.778319791666263,80,5.3349593749999995,,4.085379446605727,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.35,1.8672357812495761,80,5.3349593749999995,,4.289648418936014,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.36666666666666664,1.9561517708328893,80,5.3349593749999995,,4.493917391,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.3833333333333333,2.0450677604162024,80,5.3349593749999995,,4.698186363596586,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.39999999999999997,2.1339837499995156,80,5.3349593749999995,,4.902455335926873,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.41666666666666663,2.2228997395828287,80,5.3349593749999995,,5.106724308257159,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.4333333333333333,2.311815729166142,80,5.3349593749999995,,5.310993280587446,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.44999999999999996,2.400731718749455,80,5.3349593749999995,,5.515262252917732,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.4666666666666666,2.489647708332768,80,5.3349593749999995,,5.719531225248018,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
0.4833333333333333,2.5785636979160813,80,5.3349593749999995,,5.923800197578305,0,3.90125,0,1.3675,1,,,,0,0,0,0,0,0,0
