distance_m,f_mean_hz,L_mean_m
10.0,3.90125,1.3675
20.0,4.767499999999999,1.9162499999999998
30.0,4.598750000000001,2.36625
40.0,4.52,2.4875
50.0,4.671250000000001,2.4787500000000002
60.0,4.79625,2.3962499999999998
70.0,4.746250000000001,2.42875
80.0,4.571249999999999,2.5624999999999996
90.0,4.45,2.5212499999999998
100.0,4.3875,2.55
